,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
442,Nick Hein,Damir Hadzovic,Men's,Lightweight,2018,34.0,31.0,Southpaw,Orthodox,155.0,155.0,167.64,177.8,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,Blue
443,Emil Meek,Bartosz Fabinski,Men's,Welterweight,2018,29.0,32.0,Switch,Orthodox,170.0,170.0,187.96,190.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,Blue
444,Khalid Taha,Nad Narimani,Men's,Featherweight,2018,26.0,31.0,Orthodox,Orthodox,135.0,145.0,175.26,177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blue
445,Justin Ledet,Aleksandar Rakic,Men's,Light Heavyweight,2018,29.0,26.0,Orthodox,Orthodox,205.0,205.0,203.2,198.12,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,Blue
447,Jeremy Kimball,Darko Stosic,Men's,Light Heavyweight,2018,27.0,26.0,Switch,Orthodox,205.0,205.0,182.88,193.04,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Blue
448,Damian Stasiak,Liu Pingyuan,Men's,Bantamweight,2018,28.0,25.0,Orthodox,Orthodox,135.0,135.0,177.8,182.88,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Blue
449,Junior Dos Santos,Blagoy Ivanov,Men's,Heavyweight,2018,34.0,31.0,Orthodox,Southpaw,238.0,250.0,195.58,185.42,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,Red
450,Sage Northcutt,Zak Ottow,Men's,Welterweight,2018,22.0,31.0,Orthodox,Orthodox,170.0,170.0,180.34,182.88,5.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Red
451,Dennis Bermudez,Rick Glenn,Men's,Featherweight,2018,31.0,29.0,Orthodox,Southpaw,155.0,145.0,167.64,177.8,9.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,2.0,Blue
452,Randy Brown,Niko Price,Men's,Welterweight,2018,28.0,28.0,Orthodox,Orthodox,170.0,170.0,198.12,193.04,4.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,Blue
453,Myles Jury,Chad Mendes,Men's,Featherweight,2018,29.0,33.0,Orthodox,Orthodox,145.0,145.0,185.42,167.64,8.0,8.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,5.0,Blue
454,Cat Zingano,Marion Reneau,Women's,Women's Bantamweight,2018,36.0,41.0,Southpaw,Orthodox,145.0,135.0,172.72,172.72,2.0,5.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,Red
455,Eddie Wineland,Alejandro Perez,Men's,Bantamweight,2018,34.0,28.0,Orthodox,Orthodox,135.0,135.0,175.26,170.18,5.0,6.0,6.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,Blue
456,Darren Elkins,Alexander Volkanovski,Men's,Featherweight,2018,34.0,29.0,Orthodox,Orthodox,145.0,145.0,180.34,180.34,14.0,4.0,4.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,4.0,Blue
457,Justin Scoggins,Said Nurmagomedov,Men's,Flyweight,2018,26.0,26.0,Southpaw,Orthodox,125.0,135.0,167.64,177.8,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Blue
458,Kurt Holobaugh,Raoni Barcelos,Men's,Featherweight,2018,31.0,31.0,Orthodox,Orthodox,155.0,135.0,177.8,170.18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Blue
459,Liz Carmouche,Jennifer Maia,Women's,Women's Flyweight,2018,34.0,29.0,Orthodox,Orthodox,125.0,125.0,167.64,162.56,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,Red
460,Mark De La Rosa,Elias Garcia,Men's,Flyweight,2018,23.0,25.0,Orthodox,Southpaw,135.0,125.0,165.1,170.18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Red
461,Jessica Aguilar,Jodie Esquibel,Women's,Women's Strawweight,2018,36.0,32.0,Orthodox,Orthodox,115.0,115.0,160.02,162.56,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Red
462,Stipe Miocic,Daniel Cormier,Men's,Heavyweight,2018,35.0,39.0,Orthodox,Orthodox,240.0,235.0,203.2,182.88,12.0,9.0,2.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,4.0,Blue
463,Francis Ngannou,Derrick Lewis,Men's,Heavyweight,2018,31.0,33.0,Orthodox,Orthodox,250.0,260.0,210.82,200.66,6.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,Blue
464,Paul Felder,Mike Perry,Men's,Welterweight,2018,34.0,26.0,Orthodox,Orthodox,155.0,170.0,177.8,180.34,7.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,Blue
465,Michael Chiesa,Anthony Pettis,Men's,Lightweight,2018,30.0,31.0,Southpaw,Orthodox,170.0,170.0,190.5,182.88,7.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,Blue
466,Gokhan Saki,Khalil Rountree Jr.,Men's,Light Heavyweight,2018,34.0,28.0,Orthodox,Southpaw,205.0,205.0,185.42,193.04,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,Blue
468,Raphael Assuncao,Rob Font,Men's,Bantamweight,2018,35.0,31.0,Orthodox,Orthodox,135.0,135.0,167.64,180.34,10.0,5.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,2.0,Red
469,Lando Vannata,Drakkar Klose,Men's,Lightweight,2018,26.0,30.0,Orthodox,Orthodox,155.0,155.0,180.34,177.8,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,Blue
470,Curtis Millender,Max Griffin,Men's,Welterweight,2018,30.0,32.0,Orthodox,Orthodox,170.0,170.0,193.04,193.04,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
471,Dan Hooker,Gilbert Burns,Men's,Lightweight,2018,28.0,31.0,Switch,Orthodox,155.0,155.0,190.5,180.34,6.0,6.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,Red
473,Brad Tavares,Israel Adesanya,Men's,Middleweight,2018,30.0,28.0,Orthodox,Switch,185.0,185.0,187.96,203.2,12.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,2.0,Blue
474,Michael Trizano,Joe Giannetti,Men's,Lightweight,2018,26.0,23.0,Orthodox,Southpaw,155.0,155.0,180.34,187.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
476,Alex Caceres,Martin Bravo,Men's,Featherweight,2018,30.0,24.0,Southpaw,Southpaw,145.0,145.0,185.42,180.34,8.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,Red
478,Alessio Di Chirico,Julian Marquez,Men's,Middleweight,2018,28.0,28.0,Orthodox,Orthodox,185.0,185.0,187.96,190.5,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
480,Luis Pena,Richie Smullen,Men's,Lightweight,2018,25.0,26.0,Southpaw,Orthodox,155.0,155.0,190.5,172.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
481,John Gunther,Allan Zuniga,Men's,Lightweight,2018,32.0,26.0,Orthodox,Orthodox,155.0,155.0,182.88,177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
483,Matt Bessette,Steven Peterson,Men's,Featherweight,2018,33.0,28.0,Orthodox,Orthodox,145.0,145.0,177.8,177.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Blue
484,Gerald Meerschaert,Oskar Piechota,Men's,Middleweight,2018,30.0,28.0,Southpaw,Southpaw,185.0,185.0,195.58,193.04,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,Red
485,Donald Cerrone,Leon Edwards,Men's,Welterweight,2018,35.0,26.0,Orthodox,Southpaw,155.0,170.0,185.42,187.96,20.0,7.0,7.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,8.0,5.0,Blue
486,Ovince Saint Preux,Tyson Pedro,Men's,Light Heavyweight,2018,35.0,26.0,Southpaw,Orthodox,205.0,205.0,203.2,200.66,10.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,Red
487,Jessica-Rose Clark,Jessica Eye,Women's,Women's Flyweight,2018,30.0,31.0,Orthodox,Orthodox,125.0,125.0,162.56,167.64,2.0,2.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Blue
488,Li Jingliang,Daichi Abe,Men's,Welterweight,2018,30.0,26.0,Orthodox,Orthodox,170.0,170.0,180.34,180.34,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,Red
489,Teruto Ishihara,Petr Yan,Men's,Bantamweight,2018,26.0,25.0,Southpaw,Switch,135.0,135.0,175.26,170.18,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,Blue
490,Felipe Arantes,Song Yadong,Men's,Bantamweight,2018,30.0,20.0,Orthodox,Orthodox,135.0,135.0,185.42,170.18,5.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,Blue
491,Rolando Dy,Shane Young,Men's,Featherweight,2018,27.0,24.0,Orthodox,Orthodox,145.0,145.0,175.26,182.88,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Blue
492,Song Kenan,Hector Aldana,Men's,Welterweight,2018,28.0,29.0,Orthodox,Orthodox,170.0,170.0,180.34,182.88,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Red
493,Shinsho Anzai,Jake Matthews,Men's,Welterweight,2018,32.0,23.0,Orthodox,Orthodox,170.0,170.0,177.8,185.42,2.0,6.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,Blue
494,Viviane Pereira,Yan Xiaonan,Women's,Women's Strawweight,2018,24.0,29.0,Orthodox,Orthodox,115.0,115.0,160.02,160.02,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,Blue
495,Matt Schnell,Naoki Inoue,Men's,Flyweight,2018,28.0,21.0,Orthodox,Orthodox,135.0,125.0,177.8,180.34,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
496,Jenel Lausa,Ulka Sasaki,Men's,Flyweight,2018,29.0,28.0,Orthodox,Southpaw,125.0,125.0,172.72,180.34,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,Blue
498,Robert Whittaker,Yoel Romero,Men's,Middleweight,2018,27.0,41.0,Orthodox,Southpaw,185.0,185.0,185.42,185.42,10.0,9.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,8.0,Red
499,Rafael Dos Anjos,Colby Covington,Men's,Welterweight,2018,33.0,30.0,Southpaw,Orthodox,170.0,170.0,177.8,182.88,17.0,8.0,7.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,5.0,Blue
500,Holly Holm,Megan Anderson,Women's,Women's Featherweight,2018,36.0,28.0,Southpaw,Orthodox,145.0,145.0,175.26,182.88,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,Red
501,Andrei Arlovski,Tai Tuivasa,Men's,Heavyweight,2018,39.0,25.0,Orthodox,Southpaw,240.0,264.0,195.58,190.5,16.0,2.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,2.0,Blue
503,Alistair Overeem,Curtis Blaydes,Men's,Heavyweight,2018,38.0,27.0,Orthodox,Orthodox,265.0,265.0,203.2,203.2,8.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,3.0,Blue
505,Ricardo Lamas,Mirsad Bektic,Men's,Featherweight,2018,36.0,27.0,Orthodox,Orthodox,145.0,145.0,180.34,177.8,9.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,Blue
506,Rashad Coulter,Chris de la Rocha,Men's,Heavyweight,2018,36.0,39.0,Orthodox,Orthodox,205.0,250.0,193.04,203.2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Blue
507,Rashad Evans,Anthony Smith,Men's,Light Heavyweight,2018,38.0,29.0,Orthodox,Orthodox,205.0,205.0,190.5,193.04,14.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,3.0,Blue
508,Joseph Benavidez,Sergio Pettis,Men's,Flyweight,2018,33.0,24.0,Southpaw,Orthodox,125.0,135.0,165.1,175.26,12.0,7.0,2.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,4.0,Blue
509,Clay Guida,Charles Oliveira,Men's,Lightweight,2018,36.0,28.0,Orthodox,Orthodox,155.0,155.0,177.8,187.96,14.0,10.0,11.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,Blue
510,Mike Santiago,Dan Ige,Men's,Featherweight,2018,28.0,26.0,Orthodox,Orthodox,145.0,145.0,175.26,180.34,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Blue
511,Jimmie Rivera,Marlon Moraes,Men's,Bantamweight,2018,28.0,30.0,Orthodox,Orthodox,135.0,135.0,172.72,170.18,5.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,2.0,Blue
512,Gregor Gillespie,Vinc Pichel,Men's,Lightweight,2018,31.0,35.0,Orthodox,Orthodox,155.0,155.0,180.34,182.88,4.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,Red
513,Walt Harris,Daniel Spitz,Men's,Heavyweight,2018,34.0,27.0,Southpaw,Orthodox,250.0,245.0,195.58,208.28,3.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,Red
514,Jake Ellenberger,Ben Saunders,Men's,Welterweight,2018,33.0,35.0,Orthodox,Orthodox,170.0,170.0,180.34,195.58,10.0,8.0,9.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,Blue
515,Julio Arce,Daniel Teymur,Men's,Featherweight,2018,28.0,30.0,Southpaw,Orthodox,145.0,145.0,177.8,175.26,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Red
516,Gian Villante,Sam Alvey,Men's,Light Heavyweight,2018,32.0,32.0,Orthodox,Southpaw,205.0,205.0,193.04,190.5,6.0,9.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,Blue
518,Nik Lentz,David Teymur,Men's,Lightweight,2018,33.0,29.0,Orthodox,Southpaw,155.0,155.0,172.72,185.42,12.0,4.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,Blue
519,Belal Muhammad,Chance Rencountre,Men's,Welterweight,2018,29.0,31.0,Orthodox,Southpaw,170.0,170.0,182.88,190.5,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,Red
520,Desmond Green,Gleison Tibau,Men's,Lightweight,2018,28.0,34.0,Southpaw,Southpaw,155.0,155.0,185.42,180.34,1.0,16.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,Red
521,Johnny Eduardo,Nathaniel Wood,Men's,Bantamweight,2018,39.0,25.0,Orthodox,Orthodox,135.0,135.0,180.34,175.26,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,Blue
522,Jarred Brooks,Jose Torres,Men's,Flyweight,2018,25.0,25.0,Switch,Orthodox,125.0,125.0,157.48,165.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Blue
523,Stephen Thompson,Darren Till,Men's,Welterweight,2018,35.0,25.0,Orthodox,Southpaw,170.0,170.0,190.5,187.96,9.0,4.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,3.0,Blue
524,Neil Magny,Craig White,Men's,Welterweight,2018,30.0,27.0,Orthodox,Orthodox,170.0,170.0,203.2,193.04,13.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,Red
525,Arnold Allen,Mads Burnell,Men's,Featherweight,2018,24.0,24.0,Southpaw,Orthodox,145.0,145.0,177.8,175.26,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,Red
526,Jason Knight,Makwan Amirkhani,Men's,Featherweight,2018,25.0,29.0,Orthodox,Southpaw,145.0,145.0,180.34,182.88,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,Blue
527,Claudio Silva,Nordine Taleb,Men's,Welterweight,2018,35.0,36.0,Southpaw,Orthodox,170.0,170.0,180.34,187.96,2.0,6.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,Red
528,Eric Spicely,Darren Stewart,Men's,Middleweight,2018,31.0,27.0,Orthodox,Orthodox,185.0,185.0,185.42,187.96,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,Blue
529,Daniel Kelly,Tom Breese,Men's,Middleweight,2018,40.0,26.0,Southpaw,Southpaw,185.0,185.0,177.8,185.42,6.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,Blue
530,Lina Lansberg,Gina Mazany,Women's,Women's Bantamweight,2018,36.0,29.0,Orthodox,Southpaw,135.0,135.0,165.1,172.72,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,Red
533,Elias Theodorou,Trevor Smith,Men's,Middleweight,2018,29.0,37.0,Orthodox,Orthodox,185.0,185.0,190.5,190.5,6.0,5.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,Red
534,Demian Maia,Kamaru Usman,Men's,Welterweight,2018,40.0,31.0,Southpaw,Switch,170.0,170.0,182.88,193.04,19.0,7.0,8.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,7.0,7.0,Blue
536,Jared Cannonier,Dominick Reyes,Men's,Light Heavyweight,2018,34.0,28.0,Switch,Southpaw,185.0,205.0,195.58,195.58,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,Blue
537,Diego Rivas,Guido Cannetti,Men's,Bantamweight,2018,26.0,38.0,Orthodox,Southpaw,145.0,135.0,175.26,172.72,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,Blue
538,Veronica Macedo,Andrea Lee,Women's,Women's Flyweight,2018,22.0,29.0,Southpaw,Orthodox,125.0,125.0,162.56,175.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Blue
539,Vicente Luque,Chad Laprise,Men's,Welterweight,2018,26.0,31.0,Orthodox,Orthodox,170.0,170.0,190.5,180.34,5.0,6.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,Red
540,Zak Cummings,Michel Prazeres,Men's,Welterweight,2018,33.0,36.0,Southpaw,Orthodox,185.0,170.0,190.5,170.18,6.0,8.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,6.0,Blue
541,Brandon Moreno,Alexandre Pantoja,Men's,Flyweight,2018,24.0,28.0,Orthodox,Orthodox,125.0,125.0,177.8,170.18,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,Blue
542,Poliana Botelho,Syuri Kondo,Women's,Women's Strawweight,2018,29.0,29.0,Orthodox,Orthodox,115.0,115.0,170.18,167.64,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
546,Claudio Puelles,Felipe Silva,Men's,Lightweight,2018,22.0,34.0,Southpaw,Orthodox,155.0,155.0,182.88,195.58,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Red
547,Amanda Nunes,Raquel Pennington,Women's,Women's Bantamweight,2018,29.0,29.0,Orthodox,Orthodox,145.0,135.0,175.26,170.18,8.0,6.0,1.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,4.0,Red
548,Jacare Souza,Kelvin Gastelum,Men's,Middleweight,2018,38.0,26.0,Orthodox,Southpaw,185.0,185.0,182.88,180.34,8.0,9.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,Blue
549,Mackenzie Dern,Amanda Cooper,Women's,Women's Strawweight,2018,25.0,26.0,Orthodox,Switch,115.0,115.0,160.02,162.56,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
550,John Lineker,Brian Kelleher,Men's,Bantamweight,2018,27.0,31.0,Orthodox,Switch,135.0,135.0,170.18,167.64,11.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,2.0,Red
551,Vitor Belfort,Lyoto Machida,Men's,Middleweight,2018,41.0,39.0,Southpaw,Southpaw,185.0,185.0,187.96,187.96,15.0,15.0,10.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,8.0,Blue
552,Cezar Ferreira,Karl Roberson,Men's,Middleweight,2018,33.0,27.0,Southpaw,Southpaw,185.0,205.0,198.12,187.96,8.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Red
553,Aleksei Oleinik,Junior Albini,Men's,Heavyweight,2018,40.0,27.0,Orthodox,Orthodox,240.0,264.0,203.2,187.96,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,Red
554,Davi Ramos,Nick Hein,Men's,Lightweight,2018,31.0,34.0,Orthodox,Southpaw,155.0,155.0,177.8,167.64,1.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,Red
555,Elizeu Zaleski dos Santos,Sean Strickland,Men's,Welterweight,2018,31.0,27.0,Orthodox,Orthodox,170.0,170.0,185.42,193.04,4.0,6.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,3.0,Red
556,Warlley Alves,Sultan Aliev,Men's,Welterweight,2018,27.0,33.0,Orthodox,Orthodox,170.0,170.0,182.88,187.96,5.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,Red
557,Thales Leites,Jack Hermansson,Men's,Middleweight,2018,36.0,29.0,Orthodox,Orthodox,185.0,185.0,198.12,195.58,12.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,Blue
558,Alberto Mina,Ramazan Emeev,Men's,Welterweight,2018,36.0,30.0,Orthodox,Southpaw,170.0,170.0,195.58,193.04,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,Blue
559,Markus Perez,James Bochnovic,Men's,Middleweight,2018,29.0,29.0,Orthodox,Orthodox,185.0,205.0,185.42,205.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Red
560,Edson Barboza,Kevin Lee,Men's,Lightweight,2018,32.0,25.0,Orthodox,Orthodox,155.0,170.0,190.5,195.58,13.0,9.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,Blue
561,Frankie Edgar,Cub Swanson,Men's,Featherweight,2018,36.0,34.0,Orthodox,Orthodox,145.0,145.0,172.72,177.8,16.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,Red
562,Justin Willis,Chase Sherman,Men's,Heavyweight,2018,30.0,28.0,Southpaw,Orthodox,264.0,250.0,198.12,198.12,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,Red
563,David Branch,Thiago Santos,Men's,Middleweight,2018,36.0,34.0,Orthodox,Orthodox,185.0,205.0,198.12,193.04,3.0,9.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,Red
564,Aljamain Sterling,Brett Johns,Men's,Bantamweight,2018,28.0,26.0,Orthodox,Orthodox,135.0,135.0,180.34,180.34,6.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,3.0,Red
565,Jim Miller,Dan Hooker,Men's,Lightweight,2018,34.0,28.0,Southpaw,Switch,155.0,155.0,180.34,190.5,17.0,5.0,11.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,2.0,Blue
566,Ryan LaFlare,Alex Garcia,Men's,Welterweight,2018,34.0,30.0,Southpaw,Orthodox,170.0,170.0,187.96,182.88,6.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,Red
567,Merab Dvalishvili,Ricky Simon,Men's,Bantamweight,2018,27.0,25.0,Orthodox,Orthodox,135.0,135.0,172.72,175.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Blue
568,Siyar Bahadurzada,Luan Chagas,Men's,Welterweight,2018,34.0,24.0,Orthodox,Orthodox,170.0,170.0,185.42,190.5,3.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Red
569,Corey Anderson,Patrick Cummins,Men's,Light Heavyweight,2018,28.0,37.0,Orthodox,Orthodox,205.0,205.0,200.66,193.04,6.0,6.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,Red
570,Anthony Rocco Martin,Keita Nakamura,Men's,Welterweight,2018,28.0,33.0,Orthodox,Southpaw,170.0,170.0,185.42,185.42,4.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,Red
571,Dustin Poirier,Justin Gaethje,Men's,Lightweight,2018,29.0,29.0,Southpaw,Orthodox,155.0,155.0,182.88,177.8,14.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,Red
572,Carlos Condit,Alex Oliveira,Men's,Welterweight,2018,33.0,30.0,Orthodox,Orthodox,170.0,170.0,190.5,193.04,7.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,Blue
