,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
25,Rafael Dos Anjos,Kevin Lee,Men's,Welterweight,2019,34.0,26.0,Southpaw,Orthodox,170.0,170.0,177.8,195.58,17.0,10.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,Red
26,Antonio Carlos Junior,Ian Heinisch,Men's,Middleweight,2019,29.0,30.0,Orthodox,Orthodox,185.0,185.0,200.66,182.88,6.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,Blue
27,Megan Anderson,Felicia Spencer,Women's,Women's Featherweight,2019,29.0,28.0,Orthodox,Orthodox,145.0,145.0,182.88,172.72,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Blue
28,Vicente Luque,Derrick Krantz,Men's,Welterweight,2019,27.0,31.0,Orthodox,Orthodox,170.0,170.0,190.5,182.88,8.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,Red
29,Charles Oliveira,Nik Lentz,Men's,Lightweight,2019,29.0,34.0,Orthodox,Orthodox,155.0,155.0,187.96,172.72,14.0,14.0,9.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,4.0,Red
30,Davi Ramos,Austin Hubbard,Men's,Lightweight,2019,32.0,27.0,Orthodox,Orthodox,155.0,155.0,177.8,180.34,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,Red
32,Desmond Green,Charles Jourdain,Men's,Lightweight,2019,29.0,23.0,Southpaw,Switch,155.0,155.0,185.42,175.26,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Red
33,Danny Roberts,Michel Pereira,Men's,Welterweight,2019,31.0,25.0,Southpaw,Orthodox,170.0,170.0,187.96,185.42,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,Blue
34,Michael Trizano,Grant Dawson,Men's,Featherweight,2019,27.0,25.0,Orthodox,Switch,155.0,145.0,180.34,182.88,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Blue
35,Patrick Cummins,Ed Herman,Men's,Light Heavyweight,2019,38.0,38.0,Orthodox,Orthodox,205.0,205.0,193.04,195.58,6.0,10.0,6.0,11.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,Blue
